book	para	toc	related	tags	leaves	m_vol	m_first	m_last	m_last_derived	v_range	p_range	t_range
38	2	Vessantarāgīti		añña,pakiṇṇaka-ganthasaṅgaha,vessantarāgīti	1	0	1	112				
39	3	(saṅgayana-puccha vissajjanā) Dīghanikāye		añña,dīghanikāya,saṅgayana-puccha vissajjanā,sutta	56	0	1	239				
40	3	(saṅgayana-puccha vissajjanā) Majjhimanikāya		añña,majjhimanikāya,saṅgayana-puccha vissajjanā,sutta	132	1	1	260				
41	3	(saṅgayana-puccha vissajjanā) Saṃyuttanikāye		añña,saṃyuttanikāya,saṅgayana-puccha vissajjanā,sutta	164	1	1	317				
42	3	(saṅgayana-puccha vissajjanā) Aṅguttaranikāye		añña,aṅguttaranikāya,saṅgayana-puccha vissajjanā,sutta	246	1	1	275				
43	2	(saṅgayana-puccha vissajjanā) Vinayapiṭaka		añña,saṅgayana-puccha vissajjanā,vinaya,vinayapiṭaka	191	1	1	279				
44	2	(saṅgayana-puccha vissajjanā) Abhidhammapiṭaka		abhidhamma,abhidhammapiṭaka,añña,saṅgayana-puccha vissajjanā	71	0	1	167				
45	2	(saṅgayana-puccha vissajjanā) Aṭṭhakathā		añña,aṭṭhakathā,saṅgayana-puccha vissajjanā	30	1	25	260				
46	1	Milidaṭīkā	kn18	añña,khuddakanikāya,milidaṭīkā,milindapañha,sihaḷa-ganthasaṅgaha,sutta,ṭīkā	1							
47	1	Padamañjarī 		añña,nirutti,padamañjarī,sihaḷa-ganthasaṅgaha	1							
48	1	Padasādhanaṃ 		añña,nirutti,padasādhana,sihaḷa-ganthasaṅgaha	1							
49	1	Saddabindu pakaraṇaṃ		añña,nirutti,saddabindupakaraṇa,sihaḷa-ganthasaṅgaha	21							
50	1	Kaccāyana  dhātu mañjūsā		añña,kaccāyana,kaccāyanadhātumañjūsā,nirutti,sihaḷa-ganthasaṅgaha	152							
51	1	Samantakūṭavaṇṇanā 		añña,samantakūṭavaṇṇanā,sihaḷa-ganthasaṅgaha	802							
52	1	Moggallāna vuttivivaraṇapañcikā. 		añña,moggallāna vuttivivaraṇapañcikā,sihaḷa-ganthasaṅgaha	1							
53	1	Thupavaṃso 		añña,sihaḷa-ganthasaṅgaha,thupavaṃsa	13							
54	1	Dāṭhāvaṃso 		añña,dāṭhāvaṃsa,sihaḷa-ganthasaṅgaha	413							
55	1	Dhātupāṭha  vilāsiniyā		añña,dhātupāṭha vilāsiniyā,sihaḷa-ganthasaṅgaha	24							
56	1	Dhātuvaṃso 		añña,dhātuvaṃsa,sihaḷa-ganthasaṅgaha	5							
57	1	Hatthavanagallavihāra  vaṃso		añña,hatthavanagallavihāravaṃsa,sihaḷa-ganthasaṅgaha	63							
58	1	Jinacaritaya 		añña,jinacaritaya,sihaḷa-ganthasaṅgaha	472							
59	1	Jinavaṃsadīpaṃ 		añña,jinavaṃsadīpa,sihaḷa-ganthasaṅgaha	1993							
60	1	Telakaṭāhagāthā 		añña,sihaḷa-ganthasaṅgaha,telakaṭāhagāthā	99							
61	2	Cūḷaganthavaṃsapāḷi		añña,cūḷaganthavaṃsapāḷi,vaṃsa ganthasaṅgaha,vaṃsa-ganthasaṅgaha	7							
62	2	Sāsanavaṃsappadīpikā		añña,sāsanavaṃsappadīpikā,vaṃsa ganthasaṅgaha,vaṃsa-ganthasaṅgaha	11	0	3	187				
63	2	Mahāvaṃsapāḷi		añña,mahāvaṃsapāḷi,vaṃsa ganthasaṅgaha,vaṃsa-ganthasaṅgaha	69	0	1	388				
64	2	Visuddhimaggo(Paṭhamo bhāgo)	vism	añña,aṭṭhakathā,paṭhamo bhāgo,visuddhimagga	91	1	1	368		1.1-1.362		
65	2	Visuddhimaggo(Dutiyo bhāgo)	vism	añña,aṭṭhakathā,dutiyo bhāgo,visuddhimagga	96	2	1	353		2.1-2.352		
66	2	Visuddhimagga-mahāṭīkā(Paṭhamo bhāgo)	vism	añña,mahāṭīkā,paṭhamo bhāgo,visuddhimagga,ṭīkā	93	1	1	459		1.1-1.429		
67	2	Visuddhimagga-mahāṭīkā(Dutiyo bhāgo)	vism	añña,dutiyo bhāgo,mahāṭīkā,visuddhimagga,ṭīkā	95	2	1	534				
68	2	Visuddhimagga nidānakathā		añña,nidānakathā,visuddhimagga,ṭīkā	37	0	2	73				
69	3	Paṭṭhānapāḷi(Dutiyo bhāgo)	abhi7	abhidhamma,mūla,paṭṭhāna,paṭṭhānapāḷi,pāḷi	906	2	1	493				2.1-2.647
70	3	Paṭṭhānapāḷi(Tatiyo bhāgo)	abhi7	abhidhamma,mūla,paṭṭhāna,paṭṭhānapāḷi,pāḷi	1705	3	1					3.1-4.289
71	3	Paṭṭhānapāḷi(Catuttho bhāgo)	abhi7	abhidhamma,mūla,paṭṭhāna,paṭṭhānapāḷi,pāḷi	1834	4	1			4.1-4.786		4.291-5.526
72	3	Paṭṭhānapāḷi(Pañcamo bhāgo)	abhi7	abhidhamma,mūla,paṭṭhāna,paṭṭhānapāḷi,pāḷi	934	5	1			5.1-5.497		
73	3	Dhammasaṅgaṇīpāḷi	abhi1	abhidhamma,dhammasaṅgaṇī,mūla,pāḷi	127	0	1	293		0.1-0.322	0.1-0.259	0.1-0.374
74	3	Vibhaṅgapāḷi	abhi2	abhidhamma,mūla,pāḷi,vibhaṅga	366	0	2				0.2-0.436	
75	3	Dhātukathāpāḷi	abhi3	abhidhamma,dhātukathā,mūla,pāḷi	37	0	1	100		0.1-0.102	0.1-0.113	0.1-0.128
76	3	Puggalapaññattipāḷi	abhi4	abhidhamma,mūla,puggalapaññatti,pāḷi	20	0	101			0.103-0.187		0.129-0.236
77	3	Kathāvatthupāḷi	abhi5	abhidhamma,kathāvatthu,mūla,pāḷi	255	0	1	453		0.1-0.505	0.1-0.626	0.1-0.660
78	3	Yamakapāḷi (paṭhamo bhāgo)	abhi6	abhidhamma,mūla,pāḷi,yamaka,yamakapāḷi	406	1	1	265		1.1-1.386		1.1-1.358
79	3	Yamakapāḷi (dutiyo bhāgo)	abhi6	abhidhamma,mūla,pāḷi,yamaka,yamakapāḷi	218					2.2-2.411		
80	3	Yamakapāḷi (tatiyo bhāgo)	abhi6	abhidhamma,mūla,pāḷi,yamaka,yamakapāḷi	198	3	1	327		3.1-3.482		
81	3	Paṭṭhānapāḷi(Paṭhamo bhāgo)	abhi7	abhidhamma,mūla,paṭṭhāna,paṭṭhānapāḷi,pāḷi	1148	1	1	464				1.1-1.577
82	3	Dasakanipātapāḷi	an10	aṅguttaranikāya,dasakanipāta,mūla,nipāta,pāḷi,sutta	205	3	257	512		3.1-3.275	5.1-5.309	5.1-5.333
83	3	Ekādasakanipātapāḷi	an11	aṅguttaranikāya,ekādasakanipāta,mūla,nipāta,pāḷi,sutta	23	3	515	558		3.279-3.325	5.311-5.361	5.335-5.393
84	3	Ekakanipātapāḷi	an1	aṅguttaranikāya,ekakanipāta,mūla,nipāta,pāḷi,sutta	31	1	1	48		1.1-1.62	1.1-1.46	1.1-1.60
85	3	Dukanipātapāḷi	an2	aṅguttaranikāya,dukanipāta,mūla,nipāta,pāḷi,sutta	28	1	49			1.63-1.122		1.61-1.125
86	3	Tikanipātapāḷi	an3	aṅguttaranikāya,mūla,nipāta,pāḷi,sutta,tikanipāta	158	1	99	305		1.123-1.340		
87	3	Catukkanipātapāḷi	an4	aṅguttaranikāya,catukkanipāta,mūla,nipāta,pāḷi,sutta	278	1	307			1.1-1.295	2.1-2.257	2.1-2.346
88	3	Pañcakanipātapāḷi	an5	aṅguttaranikāya,mūla,nipāta,pañcakanipāta,pāḷi,sutta	271	2	1				3.1-3.277	
89	3	Chakkanipātapāḷi	an6	aṅguttaranikāya,chakkanipāta,mūla,nipāta,pāḷi,sutta	123	2	247	393		2.1-2.151	3.279-3.452	3.311-3.503
90	3	Sattakanipātapāḷi	an7	aṅguttaranikāya,mūla,nipāta,pāḷi,sattakanipāta,sutta	97	2	395	513		2.153-2.278	4.1-4.149	4.1-4.150
91	3	Aṭṭhakanipātapāḷi	an8	aṅguttaranikāya,aṭṭhakanipāta,mūla,nipāta,pāḷi,sutta	94	3	1	162		3.1-3.169	4.150-4.350	4.151-4.361
92	3	Navakanipātapāḷi	an9	aṅguttaranikāya,mūla,navakanipāta,nipāta,pāḷi,sutta	79	3	163			3.171-3.271	4.351-4.466	4.363-4.487
93	3	(DN) Sīlakkhandhavaggapāḷi	dn1	dīghanikāya,mūla,pāḷi,sutta,sīlakkhandhavagga	131	1	1	236		1.1-1.227	1.1-1.253	1.1-1.312
94	3	(DN) Mahāvaggapāḷi	dn2	dīghanikāya,mahāvagga,mūla,pāḷi,sutta	146	2	1	281		2.1-2.261	2.1-2.356	2.1-2.394
95	3	(DN) Pāthikavaggapāḷi	dn3	dīghanikāya,mūla,pāthikavagga,pāḷi,sutta	136	3	1	255		3.1-3.246	3.1-3.290	3.1-3.334
96	4	Dhammasaṅgaṇī-aṭṭhakathā	abhi1	abhidhamma,aṭṭhakathā,aṭṭhasālinī,dhammasaṅgaṇī	93	0	1	452		0.1-0.443	0.1-0.429	
97	4	Vibhaṅga-aṭṭhakathā	abhi2	abhidhamma,aṭṭhakathā,sammohavinodanī,vibhaṅga	131	0	1	506				
98	4	Dhātukathā-aṭṭhakathā	abhi3	abhidhamma,aṭṭhakathā,dhātukathā,pañcapakaraṇa	24	0	1	23				
98	173	Puggalapaññatti-aṭṭhakathā	abhi4	abhidhamma,aṭṭhakathā,pañcapakaraṇa,puggalapaññatti	10	0	26	104				
98	474	Kathāvatthu-aṭṭhakathā	abhi5	abhidhamma,aṭṭhakathā,kathāvatthu,pañcapakaraṇa	241	0	106	286		0.102-0.285	0.2-0.202	
98	1623	Yamakappakaraṇa-aṭṭhakathā	abhi6	abhidhamma,aṭṭhakathā,pañcapakaraṇa,yamaka	33	0	288	340		0.287-0.339		
98	1880	Paṭṭhānappakaraṇa-aṭṭhakathā	abhi7	abhidhamma,aṭṭhakathā,pañcapakaraṇa,paṭṭhāna	59	0	342	498		0.342-0.493		
99	3	Ekakanipāta-aṭṭhakathā	an1_A	aṅguttaranikāya,aṭṭhakathā,ekakanipāta,manorathapūraṇī,nipāta,sutta	96	1	1	416		1.1-1.403	1.1-2.86	
100	3	Dukanipāta-aṭṭhakathā	an2	aṅguttaranikāya,aṭṭhakathā,dukanipāta,manorathapūraṇī,nipāta,sutta	27	2	1	67		2.1-2.70		
100	325	Tikanipāta-aṭṭhakathā	an3	aṅguttaranikāya,aṭṭhakathā,manorathapūraṇī,nipāta,sutta,tikanipāta	137	2	69	248	1	2.71-2.240		
100	997	Catukkanipāta-aṭṭhakathā	an4	aṅguttaranikāya,aṭṭhakathā,catukkanipāta,manorathapūraṇī,nipāta,sutta	189	2	249			2.241-2.396		
101	3	Pañcakanipāta-aṭṭhakathā	an5	aṅguttaranikāya,aṭṭhakathā,manorathapūraṇī,nipāta,pañcakanipāta,sutta	174	3	1	86	1		3.222-3.334	
101	503	Chakkanipāta-aṭṭhakathā	an6	aṅguttaranikāya,aṭṭhakathā,chakkanipāta,manorathapūraṇī,nipāta,sutta	83	3	87	144	1	3.89-3.146		
101	792	Sattakanipāta-aṭṭhakathā	an7	aṅguttaranikāya,aṭṭhakathā,manorathapūraṇī,nipāta,sattakanipāta,sutta	50	3	145	191		3.147-3.191		
102	3	Aṭṭhakanipāta-aṭṭhakathā	an8	aṅguttaranikāya,aṭṭhakanipāta,aṭṭhakathā,manorathapūraṇī,nipāta,sutta	68	3	193	256	1	3.193-3.254	4.68-4.161	
102	275	Navakanipāta-aṭṭhakathā	an9	aṅguttaranikāya,aṭṭhakathā,manorathapūraṇī,navakanipāta,nipāta,sutta	40	3	257	285		3.255-3.283		
102	409	Dasakanipāta-aṭṭhakathā	an10	aṅguttaranikāya,aṭṭhakathā,dasakanipāta,manorathapūraṇī,nipāta,sutta	88	3	287	341		3.285-3.339	5.1-5.78	
102	706	Ekādasakanipāta-aṭṭhakathā	an11	aṅguttaranikāya,aṭṭhakathā,ekādasakanipāta,manorathapūraṇī,nipāta,sutta	11	3	343	357		3.341-3.356	5.79-5.100	
103	3	(DN) Sīlakkhandhavaggaṭṭhakathā	dn1_A	aṭṭhakathā,dīghanikāya,sumaṅgalavilāsinī,sutta,sīlakkhandhavagga	108	1	1	330		1.1-1.299		
104	3	(DN) Mahāvaggaṭṭhakathā	dn2	aṭṭhakathā,dīghanikāya,mahāvagga,sumaṅgalavilāsinī,sutta	142	2	1	400		2.1-2.361	2.407-3.812	
105	3	(DN) Pāthikavaggaṭṭhakathā	dn3	aṭṭhakathā,dīghanikāya,pāthikavagga,sumaṅgalavilāsinī,sutta	136	3	1	251		3.1-3.231		
106	3	Therīgāthā-aṭṭhakathā	kn9	aṭṭhakathā,khuddakanikāya,sutta,therīgāthā	69	0	1	304		0.1-0.322	0.1-0.300	
107	3	Apadāna-aṭṭhakathā	kn10_A	apadāna,aṭṭhakathā,khuddakanikāya,sutta,therāpadāna	267	1	3	302		1.4-2.293	0.3-0.571	
108	3	Buddhavaṃsa-aṭṭhakathā	kn12	aṭṭhakathā,buddhavaṃsa,khuddakanikāya,sutta,vaṃsa ganthasaṅgaha	37	0	1			0.1-0.345		
109	3	Cariyāpiṭaka-aṭṭhakathā	kn13	aṭṭhakathā,carita,cariyāpiṭaka,khuddakanikāya,sutta	37	0	4	262		0.4-0.245	0.3-0.271	
110	4	Jātaka-aṭṭhakathā(Paṭhamo bhāgo)	kn14	aṭṭhakathā,jātaka,khuddakanikāya,sutta	154	1	1	534		1.1-1.483	1.1-1.508	
111	3	Jātaka-aṭṭhakathā(Dutiyo bhāgo)	kn14	aṭṭhakathā,jātaka,khuddakanikāya,sutta	157	2	1	406		2.1-2.372	2.1-2.449	
112	4	Jātaka-aṭṭhakathā(Tatiyo bhāgo)	kn14	aṭṭhakathā,jātaka,khuddakanikāya,sutta	139	3	1	510		3.1-3.473	3.1-3.536	
113	4	Jātaka-aṭṭhakathā(Catuttho bhāgo)	kn14	aṭṭhakathā,jātaka,khuddakanikāya,sutta	72	4	1	504		4.1-4.452	4.1-4.499	
113	5312	Jātaka-aṭṭhakathā(Pañcamo bhāgo 16)	kn14	aṭṭhakathā,jātaka,khuddakanikāya,sutta	10	5	1	102		5.1-5.93	5.1-5.98	
114	1	Jātaka-aṭṭhakathā(Pañcamo bhāgo 17-21)	kn14	aṭṭhakathā,jātaka,khuddakanikāya,sutta	17	5	114	495		5.104-5.454	5.109-5.456	
115	3	Jātaka-aṭṭhakathā(Chaṭṭho bhāgo)	kn14	aṭṭhakathā,jātaka,khuddakanikāya,sutta	22	6	1	318		6.1-6.297	6.1-6.466	
116	3	Khuddakapāṭha-aṭṭhakathā	kn1	aṭṭhakathā,khuddakanikāya,khuddakapāṭha,paramatthajotika,sutta	100	0	2	216		0.3-0.205	0.12-0.253	
117	3	Jātaka-aṭṭhakathā(Sattamo bhāgo)	kn14	aṭṭhakathā,jātaka,khuddakanikāya,sutta	19	7	1	378		7.1-7.372	6.157-6.587	
118	3	Mahāniddesa-aṭṭhakathā	kn15	aṭṭhakathā,khuddakanikāya,mahāniddesa,niddesa,sutta	17	0	1	386		0.1-0.356	1.1-2.437	
119	3	Cūḷaniddesa-aṭṭhakathā	kn16	aṭṭhakathā,cūḷaniddesa,khuddakanikāya,niddesa,sutta	22	0	1	140		0.1-0.131	0.1-0.152	
120	3	Paṭisambhidāmagga-aṭṭhakathā	kn17	aṭṭhakathā,khuddakanikāya,paṭisambhidāmagga,saddhammappakāsinī,sutta	137	1	1	321		1.1-2.297	1.1-3.703	
121	3	Nettippakaraṇa-aṭṭhakathā	kn19	aṭṭhakathā,khuddakanikāya,netti,nettippakaraṇa,sutta	34	0	1	276		0.133-0.391		
122	3	Dhammapada-aṭṭhakathā	kn2	aṭṭhakathā,dhammapada,khuddakanikāya,sutta	307	1	1	454		1.1-2.418	1.1-4.234	
123	3	Udāna-aṭṭhakathā	kn3	aṭṭhakathā,khuddakanikāya,sutta,udāna	82	0	1	392		0.1-0.352	0.1-0.435	
124	3	Itivuttaka-aṭṭhakathā	kn4	aṭṭhakathā,itivuttaka,khuddakanikāya,sutta	110	0	4	353		0.4-0.322	1.4-2.193	
125	3	Suttanipāta-aṭṭhakathā	kn5	aṭṭhakathā,khuddakanikāya,nipāta,paramatthajotika,sutta,suttanipāta	75	1	1	323		1.1-2.299	1.1-2.607	
126	3	Vimānavatthu-aṭṭhakathā	kn6	aṭṭhakathā,khuddakanikāya,sutta,vimānavatthu	86	0	1	333		0.1-0.300	0.1-0.354	
127	3	Petavatthu-aṭṭhakathā	kn7	aṭṭhakathā,khuddakanikāya,petavatthu,sutta	53	0	1	268		0.1-0.250	0.1-0.286	
128	3	Theragāthā-aṭṭhakathā(Paṭhamo bhāgo)	kn8	aṭṭhakathā,khuddakanikāya,sutta,theragāthā	186	1	5	484				
129	3	Theragāthā-aṭṭhakathā(Dutiyo bhāgo)	kn8	aṭṭhakathā,khuddakanikāya,sutta,theragāthā	79	2	1	507		2.1-2.427	2.110-3.180	
130	3	(MN) Mūlapaṇṇāsa-aṭṭhakathā	mn1_A	aṭṭhakathā,majjhimanikāya,mūlapaṇṇāsa,papañcasūdanī,sutta	130	1	1	312		1.1-2.308	1.1-2.415	
131	3	(MN) Majjhimapaṇṇāsa-aṭṭhakathā	mn2	aṭṭhakathā,majjhimanikāya,majjhimapaṇṇāsa,papañcasūdanī,sutta	50	3	1	309		3.1-3.319	3.1-3.454	
132	3	(MN) Uparipaṇṇāsa-aṭṭhakathā	mn3	aṭṭhakathā,majjhimanikāya,papañcasūdanī,sutta,uparipaṇṇāsa	59	4	1	254		4.1-4.267	4.1-5.110	
133	3	(SN) Sagāthāvagga-aṭṭhakathā	sn1_A	aṭṭhakathā,sagāthāvagga,saṃyuttanikāya,sutta,sāratthappakāsinī	256	1	1	325		1.1-1.310		
134	3	(SN) Nidānavagga-aṭṭhakathā	sn2	aṭṭhakathā,nidānavagga,saṃyuttanikāya,sutta,sāratthappakāsinī	188	2	1	227			2.1-2.248	
135	3	(SN) Khandhavagga-aṭṭhakathā	sn3	aṭṭhakathā,khandhavagga,saṃyuttanikāya,sutta,sāratthappakāsinī	112	2	229	324		2.219-2.319	2.249-2.353	
136	3	(SN) Saḷāyatanavagga-aṭṭhakathā	sn4	aṭṭhakathā,saḷāyatanavagga,saṃyuttanikāya,sutta,sāratthappakāsinī	156	3	1	152		3.1-3.152		
137	3	(SN) Mahāvagga-aṭṭhakathā	sn5	aṭṭhakathā,mahāvagga,saṃyuttanikāya,sutta,sāratthappakāsinī	234	3	153	341		3.153-3.341	3.116-3.309	
138	3	Pārājikakaṇḍa-aṭṭhakathā	vin1	aṭṭhakathā,mahāvibhaṅga,pārājika,pārājikakaṇḍa,samantapāsādikā,suttavibhaṅga,vinaya	135	1	1	310		1.1-2.281	1.1-3.732	
139	3	(SP) Pācittiya-aṭṭhakathā	vin2	aṭṭhakathā,mahāvibhaṅga,pācittiya,pācittiya-aṭṭhakathā,samantapāsādikā,suttavibhaṅga,vinaya	102	0	1	173	1	0.1-0.161	4.735-4.899	
139	925	Bhikkhunīvibhaṅgavaṇṇanā	vin2	aṭṭhakathā,bhikkhunī,bhikkhunīvibhaṅga,pācittiya,pācittiya-aṭṭhakathā,samantapāsādikā,suttavibhaṅga,vinaya	115	0	174	230		0.163-0.221	4.901-4.948	
140	3	(SP) Mahāvagga-aṭṭhakathā	vin3	aṭṭhakathā,khandhaka,mahāvagga,samantapāsādikā,vinaya	129	0	233	437		0.225-0.411	5.951-5.1154	
141	3	(SP) Cūḷavagga-aṭṭhakathā	vin4	aṭṭhakathā,cūḷavagga,khandhaka,samantapāsādikā,vinaya	67	0	1	136		0.1-0.136	6.1155-6.1300	
142	3	(SP) Parivāra-aṭṭhakathā	vin5	aṭṭhakathā,parivāra,parivārapāḷi,samantapāsādikā,vinaya	68	0	137	265		0.137-0.268	7.1301-7.1416	
143	3	Therāpadānapāḷi(Paṭhamo bhāgo)	kn10_A	apadāna,khuddakanikāya,mūla,pāḷi,sutta,therāpadāna	422	1	1	444		1.1-1.415	1.1-2.377	1.1-2.21
144	3	Therāpadānapāḷi(Dutiyo bhāgo)	kn10_B	apadāna,khuddakanikāya,mūla,pāḷi,sutta,therāpadāna	141	2	1	185		2.1-2.178		
144	6534	Therīapadānapāḷi	kn10_B	apadāna,khuddakanikāya,mūla,pāḷi,sutta,therīapadāna	1359							
145	3	Buddhavaṃsapāḷi	kn12	buddhavaṃsa,khuddakanikāya,mūla,pāḷi,sutta,vaṃsa ganthasaṅgaha	29	2	299	383		2.287-2.367	0.1-0.67	2.405-2.548
146	3	Cariyāpiṭakapāḷi	kn13	carita,cariyāpiṭaka,khuddakanikāya,mūla,pāḷi,sutta	35	2	385	420		2.371-2.407	0.73-0.103	2.551-2.595
147	3	Jātakapāḷi(Dutiyo bhāgo)	kn14	jātaka,khuddakanikāya,mūla,pāḷi,sutta	47	2	1	371		2.1-2.276		1.530-2.444
148	3	Jātakapāḷi(Paṭhamo bhāgo)	kn14	jātaka,khuddakanikāya,mūla,pāḷi,sutta	520	1	1	396		1.1-1.290		1.1-1.524
149	3	Mahāniddesapāḷi	kn15	khuddakanikāya,mahāniddesa,mūla,niddesa,pāḷi,sutta	16	0	1	352		0.1-0.333	1.1-2.444	0.1-0.543
150	3	Cūḷaniddesapāḷi	kn16	cūḷaniddesa,khuddakanikāya,mūla,niddesa,pāḷi,sutta	42	0	1	291		0.1-0.262		0.1-0.406
151	3	Paṭisambhidāmaggapāḷi	kn17	khuddakanikāya,mūla,paṭisambhidāmagga,pāḷi,sutta	140	0	1	418		0.1-0.414	1.1-2.246	1.1-1.642
152	3	Milindapañhapāḷi	kn18	khuddakanikāya,milindapañha,mūla,pāḷi,sutta	246	0	1			0.1-0.391	0.1-0.418	
153	3	Nettippakaraṇapāḷi	kn19	khuddakanikāya,mūla,netti,nettippakaraṇa,pāḷi,sutta	40	0	1	140		0.1-0.138	0.1-0.161	
154	3	Khuddakapāṭhapāḷi	kn1	khuddakanikāya,khuddakapāṭha,mūla,pāḷi,sutta	9	0	1	11		0.1-0.12	0.1-0.9	0.1-0.14
155	3	Peṭakopadesapāḷi	kn20	khuddakanikāya,mūla,peṭakopadesa,pāḷi,sutta	12			341		0.167-0.335		
